,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
582,v1nny Labo,(+3),358,0.98,163.3,0.85,73%,112.6,0.56,0.45,0.07,0.06,32%,20%,9/44,20,200,234,161,24,21
583,ExiT TWIS,,405,0.98,214.2,1.05,69%,134.9,0.76,0.19,0.15,0.17,28%,22%,7/32,30,309,294,78,61,68
584,THEE FS,(+2),317,0.98,200.0,1.11,72%,135.9,0.75,0.25,0.09,0.07,33%,17%,10/59,27,239,215,80,29,21
585,axeLiNh0 AE,(+2),215,0.98,202.8,1.0,69%,126.7,0.7,0.22,0.08,0.08,25%,9%,3/32,18,150,150,47,17,18
586,NcSlasher INA,(+2),455,0.98,184.9,0.97,72%,123.0,0.67,0.31,0.1,0.08,24%,14%,5/36,30,306,316,141,46,35
587,Raigard AAA,,295,0.98,180.4,0.84,72%,113.4,0.6,0.54,0.1,0.09,21%,17%,3/18,23,176,210,158,30,27
588,Hyzee FCY,(+2),302,0.98,215.4,0.97,77%,138.6,0.73,0.42,0.1,0.08,30%,17%,6/36,26,221,227,128,30,24
589,pollo VKS,(+1),495,0.98,205.7,0.97,72%,130.5,0.71,0.31,0.16,0.13,21%,11%,5/45,30,352,364,152,78,62
590,NeskaaS VMS,,222,0.98,199.2,1.03,73%,135.6,0.69,0.18,0.1,0.09,25%,22%,6/27,26,153,149,39,23,21
591,isa1 MIBR.F,,244,0.97,209.0,1.08,72%,142.4,0.75,0.18,0.14,0.19,18%,6%,1/18,25,184,170,44,34,46
592,tatzuki TBD,,238,0.97,204.2,0.99,66%,141.5,0.73,0.14,0.14,0.17,23%,16%,3/19,24,173,174,34,34,40
593,Daicute 3T,(+1),336,0.97,211.7,1.02,68%,137.6,0.74,0.2,0.13,0.14,25%,7%,2/27,24,247,242,66,43,47
594,Kwixy RN,,201,0.97,186.2,0.89,66%,130.8,0.62,0.35,0.07,0.04,28%,20%,7/35,19,125,140,70,15,8
595,canefis UOL,,217,0.97,208.9,1.03,67%,145.5,0.73,0.15,0.06,0.13,30%,25%,6/24,24,158,154,33,14,28
596,Jangler AI,(+1),231,0.97,174.3,0.86,75%,113.8,0.6,0.41,0.03,0.06,22%,24%,7/29,20,138,160,94,7,14
597,BeYN MARU,(+1),256,0.97,217.3,1.05,71%,139.7,0.76,0.21,0.13,0.14,21%,11%,2/19,30,194,185,55,32,36
598,LockM GFN,,261,0.97,186.7,0.94,66%,131.6,0.65,0.18,0.06,0.08,30%,21%,9/42,21,169,179,47,16,20
599,severiNe BME,(+2),566,0.97,187.8,0.92,71%,122.1,0.65,0.37,0.05,0.1,20%,13%,7/56,26,367,401,211,31,59
600,crytex LDS,(+1),229,0.97,170.6,0.82,75%,117.3,0.58,0.44,0.06,0.07,30%,,0/15,21,132,161,100,13,17
601,pwny OXG,,465,0.97,221.6,1.02,69%,142.9,0.76,0.19,0.22,0.21,24%,8%,2/24,27,354,348,87,103,99
602,str1keR TU,(+1),422,0.97,201.8,1.0,70%,130.7,0.74,0.17,0.14,0.16,25%,17%,7/41,26,313,312,73,57,68
603,killax ESC,(+2),524,0.97,170.0,0.86,74%,107.0,0.57,0.43,0.06,0.1,21%,24%,12/51,21,301,352,223,30,50
604,bes RRQ.K,,315,0.97,183.0,0.94,67%,115.9,0.66,0.33,0.08,0.09,26%,21%,8/39,19,207,221,104,24,29
605,Kohliii ASTR,,203,0.97,206.4,0.9,68%,143.4,0.69,0.29,0.08,0.1,25%,12%,4/34,24,141,156,58,16,20
606,psydreams GDR,,345,0.97,184.3,0.94,74%,124.5,0.64,0.32,0.06,0.06,22%,21%,10/48,23,220,233,109,22,20
607,Cryocells 100T,(+1),337,0.97,199.8,0.94,70%,128.6,0.69,0.28,0.14,0.18,18%,10%,3/30,23,233,249,95,47,60
608,Deadly10 RGE,(+2),285,0.97,211.0,0.98,70%,138.2,0.72,0.23,0.16,0.13,28%,,0/24,34,206,211,65,45,38
609,carrace,(+1),216,0.97,197.4,0.97,66%,124.5,0.71,0.19,0.09,0.07,21%,27%,4/15,21,153,157,42,20,16
610,GunnyX Siss,,587,0.97,214.3,1.04,70%,132.6,0.75,0.16,0.17,0.16,19%,18%,8/45,23,439,423,91,97,91
611,Norisen IGZ,(+2),228,0.97,178.5,0.84,68%,113.5,0.6,0.46,0.05,0.09,23%,20%,4/20,18,136,162,105,12,21
612,DaveeyS KRÜ,(+2),241,0.97,176.5,0.84,72%,110.6,0.6,0.48,0.08,0.09,19%,20%,6/30,26,144,171,115,19,22
613,Fr4nky TWIS,(+2),405,0.97,212.9,0.93,73%,143.9,0.71,0.39,0.11,0.1,25%,6%,2/34,29,289,310,159,45,40
614,fznnn ODK,,327,0.97,180.6,0.87,71%,119.9,0.59,0.29,0.06,0.06,22%,7%,3/41,20,194,224,94,19,20
615,xenom Labo,,358,0.97,215.8,1.0,66%,141.0,0.76,0.15,0.22,0.17,23%,12%,3/25,25,271,270,54,77,62
616,panini FaZe,(+1),373,0.97,185.3,0.9,77%,123.0,0.64,0.41,0.07,0.09,19%,7%,4/59,25,237,262,153,26,32
617,Pyro VRA,(+1),304,0.97,193.0,0.92,66%,127.4,0.66,0.31,0.09,0.11,25%,26%,7/27,28,200,218,93,27,32
618,koki,(+1),310,0.97,183.7,0.93,74%,118.0,0.66,0.4,0.08,0.06,22%,6%,3/49,27,204,220,123,24,18
619,Minny EP,(+1),293,0.97,192.7,0.94,67%,120.7,0.7,0.41,0.08,0.1,26%,17%,5/30,26,204,218,119,22,30
620,Ivy,(+2),253,0.97,185.3,0.87,75%,124.7,0.63,0.41,0.05,0.08,26%,13%,3/24,22,160,183,104,13,21
621,Redneval WX,(+2),375,0.97,215.1,0.97,67%,142.0,0.74,0.26,0.14,0.17,21%,13%,3/24,28,279,287,96,53,63
622,chrollo NASR,(+4),381,0.97,184.6,0.98,71%,119.6,0.66,0.38,0.04,0.09,21%,18%,8/45,27,252,257,143,17,34
623,mwzera FUR,(+1),231,0.97,202.8,1.04,72%,138.1,0.74,0.28,0.08,0.12,22%,12%,3/25,34,171,164,64,19,27
624,WIX WGS,(+1),342,0.96,194.6,0.96,67%,130.3,0.69,0.2,0.09,0.1,24%,13%,5/38,30,235,244,69,30,35
625,Insider KPI,(+1),334,0.96,192.2,1.0,71%,126.3,0.66,0.2,0.07,0.08,26%,9%,4/44,20,221,222,67,24,28
626,zharwow HDE,(+2),379,0.96,194.6,0.93,73%,126.1,0.68,0.46,0.09,0.07,23%,18%,9/49,31,257,276,175,34,28
627,jas0n DMG,(+1),384,0.96,215.2,0.99,68%,144.7,0.73,0.19,0.13,0.15,23%,13%,5/38,24,281,283,73,51,56
628,Nozz BOBO,(+2),298,0.96,181.1,0.93,76%,120.2,0.62,0.36,0.05,0.07,18%,14%,5/37,31,185,200,108,16,21
629,bENITA SR.GC,(+1),322,0.96,193.4,0.91,70%,130.3,0.65,0.41,0.06,0.09,20%,15%,9/59,25,208,229,133,20,28
630,pANcada SEN,(+1),284,0.96,184.9,0.97,71%,126.6,0.64,0.23,0.04,0.08,24%,12%,6/51,22,181,187,65,11,22
631,Minimise 95x,(+1),309,0.96,200.8,0.91,70%,126.5,0.7,0.35,0.14,0.12,23%,13%,3/23,25,215,235,109,43,36
632,jfoeN 6K,(+2),267,0.96,182.5,0.87,76%,120.8,0.61,0.55,0.09,0.11,30%,17%,4/23,22,164,189,146,23,30
633,Dragy,(+1),302,0.96,215.5,0.91,67%,140.6,0.74,0.26,0.15,0.15,22%,17%,5/29,26,224,245,79,46,46
634,suther INF,,330,0.96,186.9,0.9,70%,123.9,0.62,0.41,0.09,0.12,26%,15%,6/39,21,205,228,134,29,41
635,Stefanie EG.GC,(+2),517,0.96,196.8,1.0,72%,130.0,0.69,0.19,0.11,0.12,29%,19%,10/53,26,358,358,100,55,62
636,RobbieBk GTZ,(+2),266,0.96,182.0,0.95,70%,121.6,0.65,0.27,0.08,0.07,34%,15%,5/34,22,173,183,72,22,18
637,STYRON SGP,(+1),244,0.96,176.7,0.89,72%,116.4,0.61,0.36,0.07,0.09,24%,24%,8/34,19,149,168,87,16,23
638,Add3r TTR,,211,0.96,198.7,0.95,69%,135.8,0.7,0.19,0.08,0.13,29%,17%,5/29,26,148,156,40,17,27
639,deigara 9z,,253,0.96,200.4,0.99,76%,134.0,0.69,0.27,0.13,0.1,25%,5%,1/19,21,175,177,68,32,25
640,Lazee EMP,,435,0.96,183.0,0.95,74%,118.5,0.65,0.34,0.06,0.07,23%,11%,5/47,23,282,298,149,25,31
641,matheuzin TBK,,238,0.96,183.4,0.93,73%,129.9,0.62,0.29,0.1,0.1,26%,19%,6/32,24,148,159,70,24,23
642,Changee SPE,,465,0.96,212.4,0.95,69%,139.2,0.72,0.19,0.14,0.18,24%,16%,7/44,26,335,351,88,67,85
643,alyaL BAAM,,409,0.96,214.0,0.93,69%,148.0,0.68,0.28,0.08,0.09,21%,10%,4/42,23,278,298,115,34,38
644,YHchen,,528,0.96,171.6,0.84,71%,112.2,0.59,0.5,0.08,0.09,27%,17%,9/54,22,311,372,263,40,48
645,seyq,(+2),294,0.96,178.3,0.91,72%,119.8,0.64,0.41,0.06,0.06,28%,22%,8/36,25,188,206,121,18,19
646,You OOW,(+2),394,0.96,191.4,0.91,71%,123.7,0.66,0.37,0.07,0.08,24%,17%,9/54,25,259,284,146,29,31
647,Snowi EYG,(+4),483,0.96,177.9,0.86,73%,120.9,0.58,0.38,0.06,0.09,27%,11%,8/73,22,280,325,184,30,45
648,tyfoon,,392,0.96,186.3,0.9,72%,123.3,0.63,0.34,0.08,0.09,23%,21%,6/29,23,245,273,132,31,34
649,EJAY RRQ,,203,0.96,217.1,1.01,72%,142.6,0.77,0.17,0.16,0.15,23%,7%,1/15,23,156,155,34,33,30
650,LuoK1ng KONE,,451,0.96,192.2,0.94,71%,120.7,0.67,0.38,0.1,0.13,26%,16%,8/51,24,301,321,170,43,57
651,Dory,(+1),602,0.96,167.4,0.91,74%,105.0,0.6,0.41,0.05,0.08,26%,13%,8/62,24,359,393,245,29,50
652,YoungOne RV,(+3),405,0.96,175.4,0.83,71%,116.9,0.59,0.44,0.07,0.09,22%,18%,10/55,26,237,284,178,29,37
653,Zoestol EMP,,435,0.96,178.2,0.94,71%,119.5,0.62,0.31,0.06,0.07,24%,12%,7/58,26,269,286,134,26,29
654,Izzy SUP,(+1),547,0.96,197.1,1.01,68%,127.9,0.7,0.16,0.16,0.19,26%,6%,3/47,26,384,381,87,85,106
655,richzin,(+4),514,0.96,177.5,0.9,73%,123.0,0.63,0.26,0.06,0.08,33%,24%,15/62,22,322,356,136,33,42
656,lissa LOUD,(+1),313,0.96,181.3,0.91,69%,116.4,0.64,0.36,0.06,0.09,41%,12%,5/41,23,199,219,113,20,29
657,xyNe HDE,(+3),379,0.95,191.5,0.89,69%,126.7,0.65,0.36,0.06,0.1,23%,10%,7/69,24,245,276,135,24,37
658,pryxi HEIZ,(+6),510,0.95,208.3,0.98,71%,134.2,0.74,0.28,0.09,0.1,25%,16%,11/69,28,379,386,145,46,51
659,Shondex VRA,,304,0.95,179.8,0.92,69%,124.2,0.63,0.16,0.09,0.09,27%,15%,6/39,23,193,210,50,27,27
660,vit9ine,,286,0.95,180.0,0.93,69%,117.1,0.63,0.19,0.04,0.07,18%,10%,5/49,21,181,194,55,11,21
661,Kongi Veni,(+1),423,0.95,198.4,0.98,68%,131.2,0.68,0.19,0.09,0.13,29%,13%,6/47,20,288,295,82,37,57
662,Faceroll Veni,(+2),423,0.95,167.6,0.81,73%,112.4,0.56,0.4,0.04,0.08,21%,9%,6/65,17,235,289,170,17,32
663,bunnybee XSET,(+3),368,0.95,219.0,0.93,69%,145.5,0.73,0.32,0.21,0.17,27%,27%,4/15,33,269,290,117,79,62
664,cbui NOOT,(+1),253,0.95,199.5,0.91,75%,132.7,0.69,0.41,0.08,0.09,26%,22%,8/37,31,175,193,103,20,22
665,BlackMoose 1337,,208,0.95,181.7,0.91,75%,125.2,0.61,0.36,0.06,0.06,24%,9%,3/34,21,126,138,74,12,12
666,Sushi SCC.V,(+1),289,0.95,191.7,0.95,71%,122.4,0.68,0.21,0.17,0.17,21%,28%,5/18,22,197,208,61,48,48
667,swag FIAP,(+1),317,0.95,172.1,0.82,73%,114.4,0.59,0.53,0.09,0.1,26%,11%,2/19,19,186,228,168,29,32
668,Zauqk WH,,221,0.95,216.5,0.94,69%,145.1,0.72,0.23,0.09,0.09,23%,15%,5/34,23,160,171,51,19,19
669,Retla T30,,242,0.95,217.7,1.01,66%,149.1,0.76,0.16,0.1,0.11,18%,13%,5/40,25,184,182,39,23,27
670,satellite ASP,,385,0.95,223.5,0.96,67%,142.7,0.75,0.18,0.21,0.2,18%,19%,4/21,27,287,300,71,79,78
671,Kenkayyy,(+5),387,0.95,196.9,0.91,71%,132.3,0.68,0.32,0.05,0.08,26%,9%,4/43,21,262,289,125,19,31
672,Sephiroth,(+2),359,0.95,233.1,1.02,68%,151.6,0.8,0.16,0.22,0.21,26%,24%,7/29,32,287,281,59,79,77
673,FreshT 6K,,267,0.95,217.8,0.99,73%,143.6,0.78,0.16,0.18,0.19,26%,13%,2/16,25,208,210,42,49,50
674,DOXZ3R ASTR,,203,0.95,188.7,0.95,68%,130.8,0.66,0.18,0.06,0.08,21%,12%,4/33,22,133,140,36,12,17
675,Teerapong FS,(+1),318,0.95,184.3,0.86,74%,123.3,0.61,0.48,0.08,0.06,20%,21%,6/28,21,195,226,152,24,20
676,Fluky FS,(+3),385,0.95,201.1,0.97,69%,134.1,0.71,0.26,0.15,0.12,25%,13%,6/48,30,272,279,100,58,46
677,KP SR.GC,,322,0.95,188.4,0.88,75%,121.8,0.66,0.47,0.06,0.1,29%,7%,2/28,23,212,240,151,18,32
678,senyorcarl NAOS,(+2),215,0.95,220.6,0.94,66%,139.1,0.77,0.27,0.07,0.11,34%,19%,6/32,25,165,176,57,16,24
679,aduka MAS,,222,0.95,209.3,0.98,64%,150.2,0.71,0.19,0.09,0.13,24%,8%,3/40,23,158,162,43,20,29
680,rise XSET,(+1),368,0.95,172.0,0.91,74%,108.6,0.62,0.4,0.05,0.07,23%,12%,7/57,23,227,250,149,19,26
681,mummAy FaZe,(+2),200,0.95,160.2,0.85,66%,109.1,0.56,0.41,0.04,0.08,23%,17%,4/24,25,111,130,82,7,15
682,Lear OR,(+1),389,0.95,178.3,0.82,71%,117.1,0.6,0.43,0.05,0.07,21%,12%,7/59,22,234,285,167,19,28
683,rood FOGU,,434,0.95,184.0,0.99,68%,121.4,0.63,0.14,0.08,0.09,18%,10%,6/62,23,274,277,60,36,41
684,zeldris OR,,276,0.95,209.8,0.99,68%,133.2,0.75,0.12,0.2,0.22,25%,33%,9/27,28,208,210,34,56,61
685,kasper 3E,(+1),459,0.95,180.7,0.87,70%,118.8,0.63,0.38,0.07,0.07,34%,17%,9/53,22,287,330,173,34,34
686,sora JJH,(+1),261,0.95,195.3,0.89,70%,123.0,0.67,0.46,0.1,0.11,22%,37%,7/19,21,175,196,120,25,28
687,rayse COL,(+4),565,0.95,185.9,0.89,71%,118.3,0.66,0.36,0.12,0.09,24%,16%,7/44,24,371,417,203,70,49
688,keznit KRÜ,,241,0.95,229.1,1.04,67%,155.6,0.8,0.2,0.17,0.22,25%,19%,4/21,27,192,184,47,41,52
689,PureVNS OR,,237,0.95,185.0,0.88,71%,119.1,0.62,0.43,0.03,0.04,22%,12%,4/33,22,148,169,101,6,9
690,Harshhh RGE,(+3),285,0.95,190.2,0.88,69%,118.2,0.65,0.39,0.06,0.1,17%,16%,6/38,21,184,209,110,16,28
691,atlas,(+1),240,0.95,186.9,0.89,68%,125.6,0.65,0.35,0.06,0.12,28%,15%,5/33,20,155,174,84,15,28
692,CTC RED,,296,0.95,183.8,0.94,72%,120.7,0.64,0.33,0.08,0.09,26%,14%,4/28,23,188,200,98,24,27
693,mada SR,(+5),373,0.95,195.9,0.93,71%,129.8,0.67,0.32,0.09,0.16,25%,30%,6/20,24,249,269,118,33,59
694,Krysme LOUD,,313,0.95,205.4,0.99,66%,135.9,0.71,0.19,0.07,0.07,22%,13%,5/40,22,221,223,60,22,22
695,Instxnct,(+5),416,0.95,211.6,0.89,69%,135.9,0.7,0.33,0.13,0.14,23%,12%,4/34,24,293,329,139,56,57
696,ShimmyXD Zeni,,240,0.95,190.3,0.88,66%,125.5,0.63,0.33,0.08,0.13,18%,14%,4/28,23,152,173,78,19,32
697,PinOcchiOs SPE,(+1),506,0.94,181.6,0.84,70%,116.8,0.62,0.47,0.05,0.08,22%,13%,5/40,22,314,375,239,26,39
698,Sacy SEN,(+3),284,0.94,197.8,0.96,71%,130.3,0.68,0.35,0.08,0.08,32%,11%,4/37,23,194,203,100,22,24
699,nos 4AM,(+3),201,0.94,176.6,0.91,71%,118.3,0.63,0.36,0.05,0.04,28%,6%,2/31,20,126,139,72,10,9
700,zini OGT.X,,431,0.94,162.8,0.71,76%,102.3,0.51,0.59,0.06,0.1,15%,10%,3/31,17,219,310,256,27,45
701,Tim ZMM.B,(+1),376,0.94,206.7,0.89,69%,139.1,0.69,0.37,0.11,0.13,22%,25%,12/48,27,261,292,138,40,50
702,RiseN WAY,(+2),364,0.94,203.0,0.91,70%,137.4,0.7,0.32,0.07,0.13,30%,15%,10/65,24,255,280,117,24,48
703,rin Toe,(+2),232,0.94,200.5,0.89,73%,131.4,0.69,0.35,0.09,0.09,24%,18%,6/33,23,159,179,82,20,20
704,v1c SR,(+4),373,0.94,191.3,0.95,75%,123.5,0.66,0.28,0.08,0.07,25%,17%,6/36,25,248,260,104,28,25
705,mNdS CAOS,,358,0.94,185.2,0.92,72%,127.3,0.64,0.2,0.06,0.12,26%,18%,6/34,28,228,247,73,20,44
706,Burzzy SUP,(+2),547,0.94,210.0,0.95,74%,133.5,0.73,0.33,0.09,0.12,37%,19%,7/36,29,398,418,178,49,67
707,freddan,(+1),326,0.94,193.7,0.89,71%,129.4,0.67,0.35,0.1,0.1,24%,17%,4/24,25,218,244,114,32,33
708,ICEKING TTG,,394,0.94,186.4,0.89,74%,123.4,0.65,0.42,0.09,0.11,20%,20%,9/45,25,256,289,167,36,44
709,gaabxx RED,(+3),296,0.94,163.6,0.88,71%,111.3,0.56,0.31,0.08,0.05,21%,14%,5/37,18,166,189,93,23,16
710,Divine SGP,(+2),244,0.94,186.5,0.89,73%,116.2,0.65,0.45,0.04,0.11,28%,9%,2/22,20,159,178,109,9,26
711,Meddo HSD,,214,0.94,172.6,0.94,71%,120.9,0.63,0.15,0.05,0.08,21%,4%,1/27,19,135,143,32,11,17
712,Mickebwoy NASR,(+2),381,0.94,190.5,0.84,73%,128.1,0.6,0.39,0.06,0.03,19%,3%,2/71,23,228,271,147,23,13
713,Zoe VEL,(+2),330,0.94,199.5,0.9,72%,133.0,0.66,0.39,0.04,0.08,23%,8%,3/38,24,219,244,130,13,27
714,DESTRUCT1VEE GAL,,252,0.94,197.8,0.91,67%,129.5,0.67,0.37,0.1,0.16,25%,16%,3/19,24,170,186,93,24,41
715,Ginilson Proj,(+1),286,0.94,209.2,0.94,73%,137.4,0.73,0.36,0.1,0.12,26%,19%,5/27,25,208,222,104,30,33
716,TORANECO SZ,(+2),283,0.94,170.5,0.78,76%,112.8,0.54,0.41,0.08,0.06,19%,13%,3/24,20,154,197,117,23,17
717,LeeN VMS,,222,0.94,209.5,0.98,69%,135.5,0.75,0.18,0.18,0.19,25%,17%,2/12,30,166,170,40,39,42
718,Flynch PSJ,,215,0.94,211.1,0.9,63%,133.9,0.7,0.21,0.19,0.17,24%,17%,2/12,23,151,167,45,41,36
719,xazyy DSY,,202,0.94,169.3,0.9,70%,109.6,0.59,0.39,0.08,0.07,24%,6%,2/31,21,120,133,78,16,15
720,Tiger UST,(+3),294,0.94,165.9,0.83,72%,112.3,0.58,0.43,0.03,0.05,20%,12%,5/43,23,170,204,127,10,16
721,leonzhet AK,,302,0.94,177.3,0.92,70%,117.0,0.64,0.36,0.05,0.08,23%,12%,7/58,27,193,209,110,14,24
722,shen 1337,(+3),275,0.94,183.1,0.88,70%,121.1,0.62,0.43,0.1,0.08,21%,23%,7/31,21,171,195,117,27,22
723,DominiK ASTR,,203,0.93,173.3,0.82,70%,109.0,0.59,0.41,0.02,0.07,30%,9%,2/23,21,120,147,84,5,15
724,Redgar TL,,209,0.93,184.6,0.89,70%,119.9,0.64,0.46,0.09,0.13,34%,5%,1/21,20,134,151,96,18,28
725,teach 1337,(+1),208,0.93,180.3,0.88,76%,117.3,0.63,0.5,0.05,0.06,32%,11%,3/28,25,131,149,105,11,13
726,Harmful TTR,,231,0.93,209.5,0.94,64%,134.9,0.74,0.13,0.14,0.16,36%,7%,2/28,22,172,183,31,33,38
727,vibhoRR GDR,,414,0.93,198.4,0.95,68%,133.0,0.67,0.22,0.1,0.11,20%,20%,8/41,24,279,294,93,42,45
728,panday XSET,,368,0.93,204.8,0.97,70%,136.4,0.7,0.23,0.08,0.08,25%,23%,8/35,22,259,268,84,28,31
729,Luskka,(+3),519,0.93,180.5,0.82,73%,119.6,0.6,0.45,0.08,0.1,30%,12%,6/50,22,310,377,231,39,50
730,Cartier,,261,0.93,186.8,0.89,68%,125.6,0.66,0.4,0.06,0.07,25%,23%,10/44,28,171,192,105,15,18
731,shhhack KPI,(+2),334,0.93,164.2,0.78,76%,107.4,0.54,0.47,0.05,0.07,21%,21%,8/39,19,182,232,156,17,23
732,saint DSR,(+4),440,0.93,180.0,0.85,72%,121.0,0.64,0.41,0.07,0.09,24%,8%,4/48,31,280,330,180,30,38
733,Jow 6K,,267,0.93,193.7,0.89,70%,131.5,0.67,0.3,0.08,0.09,40%,20%,5/25,19,178,200,79,22,23
734,deLb INA,,363,0.93,202.5,0.94,69%,131.3,0.67,0.18,0.17,0.17,23%,11%,2/18,28,245,260,64,61,63
735,Xhowi SKC,(+1),446,0.93,193.9,0.92,72%,129.6,0.67,0.28,0.11,0.14,28%,24%,8/33,21,300,326,125,49,63
736,KlausC WeS,(+2),587,0.93,176.3,0.8,70%,115.9,0.58,0.45,0.07,0.06,19%,15%,9/60,25,338,424,264,39,37
737,BABYBAY FaZe,,291,0.93,206.5,0.99,66%,133.6,0.74,0.18,0.21,0.19,19%,14%,4/28,30,215,217,51,62,54
738,NicoMachine AK,(+1),302,0.93,191.5,0.82,73%,126.1,0.65,0.42,0.09,0.1,20%,13%,2/15,27,197,240,128,26,30
739,Jonaaa6 OR,(+2),276,0.93,196.4,0.86,70%,127.5,0.66,0.41,0.05,0.12,25%,20%,5/25,22,183,214,112,14,32
740,heybay OOW,(+1),394,0.93,195.6,0.93,68%,129.4,0.7,0.17,0.16,0.15,23%,14%,5/35,26,276,296,68,65,59
741,Incredible Divi,(+1),216,0.93,174.1,0.83,69%,116.1,0.6,0.39,0.05,0.09,19%,17%,8/48,18,129,156,85,11,20
742,ericzn,,253,0.93,188.3,0.88,69%,130.3,0.65,0.27,0.08,0.08,26%,10%,3/30,35,164,187,69,21,20
743,Carlee MSF,,338,0.93,177.1,0.85,70%,114.1,0.58,0.28,0.04,0.09,22%,16%,8/50,19,195,229,95,13,29
744,CyderX SUP,(+1),547,0.93,167.5,0.9,72%,114.1,0.59,0.29,0.04,0.05,34%,8%,7/86,29,325,362,156,21,30
745,Amir,(+1),310,0.93,187.3,0.87,71%,124.9,0.65,0.38,0.06,0.08,24%,22%,7/32,19,200,229,117,20,25
746,skonk HEIZ,(+1),424,0.93,213.7,0.96,62%,149.4,0.73,0.2,0.12,0.16,21%,18%,7/38,25,310,324,83,52,68
747,gWenn RH,(+1),252,0.93,196.8,0.93,71%,131.3,0.71,0.33,0.04,0.07,24%,18%,4/22,26,178,192,84,9,17
748,DubsteP TS,(+1),209,0.93,184.7,0.99,71%,125.2,0.68,0.13,0.08,0.11,25%,17%,6/36,23,143,145,28,17,22
749,gtn RED,,296,0.93,187.9,0.98,74%,123.9,0.67,0.28,0.09,0.09,21%,23%,8/35,27,197,202,83,26,26
750,vicious KOVA,(+2),326,0.93,191.4,0.95,69%,128.2,0.67,0.31,0.06,0.06,24%,11%,6/54,23,220,231,100,21,20
751,WAT 95x,,309,0.93,177.6,0.92,70%,120.8,0.65,0.3,0.07,0.07,32%,10%,4/42,23,202,220,94,21,21
752,LoveX,,286,0.92,225.4,0.94,69%,149.2,0.77,0.23,0.15,0.19,18%,18%,4/22,30,220,234,65,43,54
753,ANGE1 NAVI,(+2),318,0.92,184.6,0.88,71%,116.7,0.63,0.28,0.14,0.13,30%,12%,2/17,21,200,226,88,44,41
754,WEIRDO WBG,(+1),252,0.92,184.8,0.96,73%,120.6,0.68,0.26,0.06,0.08,24%,7%,3/46,23,171,179,66,16,21
755,jurca AT,(+1),293,0.92,175.4,0.87,70%,120.5,0.61,0.34,0.12,0.07,25%,17%,6/35,31,180,208,99,35,20
756,d1srupt TRS,(+4),324,0.92,196.4,0.92,67%,134.9,0.69,0.27,0.07,0.09,26%,8%,4/50,21,225,245,89,22,30
757,KssarPlayz Unde,,305,0.92,213.1,0.95,65%,141.3,0.74,0.15,0.19,0.2,24%,13%,4/31,22,227,239,45,57,61
758,eNes AT,(+1),293,0.92,174.4,0.89,71%,104.8,0.62,0.47,0.07,0.1,24%,11%,3/28,21,183,206,139,21,30
759,YaBoiLewis FKS,(+2),326,0.92,175.8,0.92,69%,117.7,0.65,0.28,0.1,0.1,42%,16%,4/25,18,212,231,92,31,33
760,riku DSG,(+1),231,0.92,218.4,0.95,68%,146.4,0.74,0.2,0.09,0.06,18%,15%,6/40,22,172,181,47,20,15
761,kev ZMM.B,(+1),232,0.92,194.6,0.89,74%,124.9,0.66,0.47,0.02,0.05,27%,6%,2/35,22,153,171,110,5,11
762,Atom DIVI,(+3),547,0.92,176.3,0.83,73%,111.7,0.6,0.43,0.04,0.09,17%,7%,4/56,23,329,396,234,22,48
763,Ant GLB,(+2),270,0.92,196.8,0.84,65%,132.6,0.65,0.36,0.09,0.12,31%,26%,5/19,26,175,209,96,23,33
764,starkk GTZ,(+1),266,0.92,163.4,0.82,68%,113.3,0.55,0.4,0.07,0.06,26%,5%,2/39,23,146,179,106,18,16
765,ease CASE,(+1),478,0.92,164.8,0.81,74%,106.1,0.55,0.44,0.07,0.06,25%,20%,9/45,19,265,328,209,32,29
766,Haodong EDG,(+2),442,0.92,169.8,0.88,70%,109.5,0.59,0.31,0.07,0.08,28%,11%,6/55,25,262,299,139,29,34
767,bucher1 3E,(+1),276,0.92,189.5,0.87,71%,134.3,0.63,0.31,0.07,0.08,23%,10%,3/29,28,173,199,86,19,21
768,neveR RAAD,(+1),252,0.92,193.9,0.94,69%,128.5,0.7,0.13,0.16,0.17,27%,25%,5/20,27,177,188,32,41,42
769,emluo MxM.R,(+1),551,0.92,187.5,0.97,69%,128.5,0.66,0.14,0.09,0.09,27%,23%,16/71,22,363,374,79,52,49
770,A77 MP,(+2),289,0.92,165.5,0.79,71%,112.9,0.54,0.31,0.08,0.08,17%,17%,7/42,24,157,198,91,22,22
771,KnightVoice HMB,,320,0.92,184.7,0.91,67%,124.4,0.67,0.29,0.07,0.05,25%,26%,9/34,25,213,235,92,22,15
772,Acetics SPE,(+2),506,0.92,181.8,0.87,70%,118.2,0.63,0.3,0.07,0.11,27%,17%,9/54,24,318,364,151,35,55
773,H1ber TQ,,211,0.92,215.6,0.96,64%,138.5,0.73,0.2,0.19,0.23,21%,17%,1/6,20,154,161,43,40,49
774,artn SGP,(+2),244,0.92,158.9,0.85,73%,102.8,0.57,0.37,0.05,0.1,19%,12%,5/43,19,139,163,91,12,24
775,drn MIBR.F,,244,0.92,183.7,0.88,70%,121.8,0.63,0.4,0.05,0.11,23%,15%,5/33,19,153,174,97,13,26
